@,@id,Start,Timestamp,Username,Source,Osm id,Name of Facility,Address,Phone Number,Operator Type,Facility Operator Name,Facility Location / latitude,Facility Location / longitude,Facility Location / altitude,Facility Location / accuracy,Operational Status,When is the facility open?,Which days is this facility open?,Open hours by day of the week / Enter open hours for each day:,Open hours by day of the week / Monday open hours,Open hours by day of the week / Tuesday open hours,Open hours by day of the week / Wednesday open hours,Open hours by day of the week / Thursday open hours,Open hours by day of the week / Friday open hours,Open hours by day of the week / Saturday open hours,Open hours by day of the week / Sunday open hours,Open hours by day of the week / Public Holiday open hours,Open hours by day of the week / Select hours,Enter weekday hours,OSM 'opening_hours',Opening hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Specialities,Speciality medical equipment available,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,UUID
11,01dd8f31-22ba-4543-9a66-ca8e3eeb9238,2019-07-17T14:35:48.184000+00:00,2019-07-17T18:34:23.587000+00:00,FINI6caroline,HS-Gather-2019-Senegal,2d402784-ecf2-4c7f-a631-f8df51382474,Direction de la medecine du travail de l'UGB,Université Gaston Berger de Saint Louis,,public,Ministère de la santé,16.06568781,-16.41952839,42,5,operational,oh_select,Mo Tu Fr We Th Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset","08:00-17:00
17:00-20:00","08:00-17:00
17:00-20:00","08:00-17:00
17:00-20:00","08:00-17:00
17:00-20:00","08:00-17:00
17:00-20:00",08:00-12:00,,,"Mo 08:00-17:00
17:00-20:00; Tu 08:00-17:00
17:00-20:00; We 08:00-17:00
17:00-20:00; Th 08:00-17:00
17:00-20:00; Fr 08:00-17:00
17:00-20:00; Sa 08:00-12:00; Su off; PH off",,,"Mo 08:00-17:00
17:00-20:00; Tu 08:00-17:00
17:00-20:00; We 08:00-17:00
17:00-20:00; Th 08:00-17:00
17:00-20:00; Fr 08:00-17:00
17:00-20:00; Sa 08:00-12:00; Su off; PH off",,doctors,doctor,,,no,,6,1,4,no,yes,powered_pump,grid,http://www.ugn.edu.sn,,,38218447-1487-4c6c-9c5a-cd0ad99c6e81
12,6091de17-15c8-4bc8-871e-9bae1b945e3b,2019-07-17T12:45:04.992000+00:00,2019-07-17T18:31:48.814000+00:00,FINI6caroline,HS-Gather-2019-Senegal,7db10301-8726-4471-911e-9e568f233074,Infirmerie des GDS (Grand Domaine du Sénégal),Grand Domaine du Sénégal Ndiawdoune,,private,Ministère de la santé,16.07728225,-16.38205818,44,5,operational,oh_select,Tu We Th Fr Sa Mo,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset","07:00-15:30
15:30-19:00","07:00-15:30
15:30-19:00","07:00-15:30
15:30-19:00","07:00-15:30
15:30-19:00","07:00-15:30
15:30-19:00","07:00-15:30
15:30-19:00",,,"Mo 07:00-15:30
15:30-19:00; Tu 07:00-15:30
15:30-19:00; We 07:00-15:30
15:30-19:00; Th 07:00-15:30
15:30-19:00; Fr 07:00-15:30
15:30-19:00; Sa 07:00-15:30
15:30-19:00; Su off; PH off",,,"Mo 07:00-15:30
15:30-19:00; Tu 07:00-15:30
15:30-19:00; We 07:00-15:30
15:30-19:00; Th 07:00-15:30
15:30-19:00; Fr 07:00-15:30
15:30-19:00; Sa 07:00-15:30
15:30-19:00; Su off; PH off",,doctors,doctor pharmacy birthing_center,,emergency_department,no,,2,1,8,private,yes,powered_pump,grid,,,,0d3d65f3-2f95-40c4-b7af-720c132bbc33
13,bb1a3fb6-62a2-4a39-ac9e-17874f9082dc,2019-07-17T12:12:18.209000+00:00,2019-07-17T18:30:36.072000+00:00,FINI6caroline,HS-Gather-2019-Senegal,a8ff1202-2e05-4e7f-b2f2-5e406e77ddc1,Case de santé Ndiawdoune,Ndiawdoune wolof face école primaire,,public,Ministère de la santé,16.06716848,-16.39147902,38,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor,,,no,,0,0,1,no,yes,powered_pump,none,,,,ba4061f0-a351-439c-8c8e-42c547806c9a
14,37509f49-1226-4bc2-808e-3dbddcf9c25d,2019-07-17T11:18:10.170000+00:00,2019-07-17T18:28:29.071000+00:00,FINI6caroline,HS-Gather-2019-Senegal,6c56ff3d-4f14-45b6-96cf-cf1bc04a677f,Poste de santé Mbakhana,Mbarigo,,public,Ministère de la santé,16.08349747,-16.3635252,41,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy birthing_center,,,yes,,7,0,3,no,yes,powered_pump,grid,,,,6161adc1-ce13-4e50-92af-ba658fb0686c
15,031a5bfa-22fc-4af9-9704-1d4d9bea8678,2019-07-17T10:24:23.133000+00:00,2019-07-17T18:26:41.930000+00:00,FINI6caroline,HS-Gather-2019-Senegal,6a117291-66cd-4cca-b7e0-57de9117363a,Case de santé,Mbodiene Lampsar,,public,Ministère de la santé,16.10882201,-16.34721444,42,5,operational,oh_select,Mo Tu We Th Sa Su Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunr",09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa 09:00-18:30; Su 09:00-18:30; PH off,,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa 09:00-18:30; Su 09:00-18:30; PH off,,doctors,doctor birthing_center,,,no,,1,0,1,unknown,yes,powered_pump,none,,,,de883f9a-f2aa-4b6a-9cfa-ea3234f152a4
16,121f2a78-93a2-4a83-a6f8-35d6534a3c18,2019-07-16T15:41:16.552000+00:00,2019-07-16T17:27:13.290000+00:00,FINI6caroline,HS-Gather-2019-Senegal,fafd97b0-e54b-436a-a249-93d666cd1ecf,Centre de recherche biomedicale espoir pour la sante,"263, route de la corniche BP 226, Saint-Louis",+221339610377,ngo,Non approprié,16.02700093,-16.48914311,31,5,operational,oh_weekday,,,,,,,,,,,,08:30-18:30,,Mo-Fr 08:30-18:30; PH off,,doctors,laboratory,,laboratory,no,,0,4,3,unknown,yes,powered_pump,grid,,,,b700d2c7-5760-4a04-977b-5b308bf0698c
17,543470f3-114a-4394-bace-cad1d3bf2e5d,2019-07-18T10:46:05.554000+00:00,2019-07-18T16:50:15.819000+00:00,HarouneRachidSAGNA,HS-Gather-2019-Senegal,18d5e6d4-15d7-4eae-9dfe-3e35c7ea9c67,Samu,Ngallele sud,339641179,private,Ministère de la santé,16.03980311,-16.44694031,33,6,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor,,,no,,0,4,4,no,yes,powered_pump,grid,,,,b1e73538-9ad5-4deb-a9c7-99b1d45878e9
18,61b1e300-1704-4f2c-b164-c04d15c0a14a,2019-07-16T14:53:39.923000+00:00,2019-07-18T16:49:21.423000+00:00,HarouneRachidSAGNA,HS-Gather-2019-Senegal,bfbe6349-3c01-4ea2-9832-5e18c2332ee0,Poste de sante de Ngallele,Ngallele nord,,public,Ministère de la santé,16.04070752,-16.44529327,27,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy birthing_center,,,no,,4,1,1,private,yes,powered_pump,grid,,,,31853e9a-3151-49bd-8d14-5cfc27cc9678
19,960f1ac8-a030-42ee-a46d-67ed06a14910,2019-07-18T13:41:05.651000+00:00,2019-07-18T16:47:15.633000+00:00,mhddiallo,HS-Gather-2019-Senegal,ab55f71f-9abc-4d82-aa9b-349c436e50eb,Pharmacie Malang Lyss,Corniche bar,+339614718,private,Dr Diedhiou,16.02730758,-16.48905049,37,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,imaging_equipment,no,yes,,,,public private,yes,water_works,grid,,,,46b018ea-d6ee-4ccb-bb61-1776733fbf43
20,5e1bd083-016b-479c-a2f6-3dc0483fe96c,2019-07-18T13:06:23.893000+00:00,2019-07-18T16:47:47.859000+00:00,mhddiallo,HS-Gather-2019-Senegal,16d98a31-2318-452b-a38c-4bcb19c3d000,Pharmacie Mame Yacine Bop,"Diamaguene, près du Lycee Charles de Gaulles",+339614189,private,Mame Yacine Bop,16.01991101,-16.4969496,26,5,operational,oh_select,Mo We Tu Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,,yes,,,,private,no,water_works,grid,,,,cb214155-ffaf-48fb-8831-bd5c818c8005
21,19d203fe-fc82-4aaa-981d-f1b64a6fbc5c,2019-07-18T12:43:53.556000+00:00,2019-07-18T16:48:44.673000+00:00,mhddiallo,HS-Gather-2019-Senegal,134d0162-a3b8-42cb-85ce-5f07b8e6d629,Pharmacie Mame Madia,Diamaguene,,private,Mame Madia,16.02527803,-16.49644375,42,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,hospital,,,no,yes,,,,private,yes,water_works,grid,,,,d77820d0-ba2f-4e44-9fd9-2d78ea6a1163
22,a6bb8452-fdc6-425c-ac59-2e943b2c28bf,2019-07-18T12:08:48.899000+00:00,2019-07-18T16:49:38.469000+00:00,mhddiallo,HS-Gather-2019-Senegal,c754e6f6-0373-48a3-aecc-863293c3c7fe,Pharmacie khadim rassoul,"Avenue general de gaulles, Sor",+339613440,private,Dr Ousseynou Seck,16.02400603,-16.49387402,39,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,intensive_care_unit,no,yes,,1,,private,yes,water_works,grid,,,,5df8d439-43e9-4728-8ae9-871ca9887a40
23,7ba2f77e-c0bc-4951-bb7b-d3c0ff6d0e5e,2019-07-18T11:11:26.050000+00:00,2019-07-18T16:50:47.723000+00:00,mhddiallo,HS-Gather-2019-Senegal,9a72914c-eb15-467d-82f6-f6f64a4bce73,Pharmacie du fleuve,Avenue Moustapha malick gueye,+339617618,private,Dr Moussa Ba,16.02064191,-16.49101999,32,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,,,,private,yes,water_works,grid,,,,ecdcf3af-5814-43d0-a445-d75cb5e8f36e
24,29deab9a-39c0-4475-b97a-d5b27df16b76,2019-07-18T12:26:07.429000+00:00,2019-07-18T12:41:48.459000+00:00,AssaneChrif,HS-Gather-2019-Senegal,00c748a7-10e7-4875-9a66-d159e629ad7c,Case de Santé deTouba Guéne,Village de Touba Guéne,,public,Ministère de la santé et de l'action sociale,15.86120785,-16.39220984,49,6,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,no,water_works,none,,,,14dcd228-59a7-4a79-9f4e-911b49e6811b
25,ce2d1b3e-77b8-4f72-823d-4a278dfa0cad,2019-07-18T11:50:49.571000+00:00,2019-07-18T15:50:00.657000+00:00,AssaneChrif,HS-Gather-2019-Senegal,e348fb89-10fc-42a4-b912-7daf1682d001,Case de santé de Gantour,Village de Gantour,,public,Ministère de la santé et de l'action sociale,15.89188218,-16.42632963,36,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,no,water_works,grid,,,,8a340966-8c68-4794-9643-6265049d0947
26,a9d3829a-f533-4b4c-b12c-5dc164e121dd,2019-07-18T11:24:51.756000+00:00,2019-07-18T15:47:53.290000+00:00,AssaneChrif,HS-Gather-2019-Senegal,cc2429ce-53ad-46e7-bd91-113b1beff8ed,Case de Santé de Ndialakhar Wolof,Village de Ndialakhar Wolof,,public,Ministère de la santé et de l'action sociale,15.98486112,-16.37700817,30,6,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,no,water_works,none,,,,92f95234-3f86-4410-8943-d1e01b8bc86f
27,c2fed6ce-57c6-46f5-9724-67b2ba16879d,2019-07-18T10:54:26.782000+00:00,2019-07-18T15:47:05.021000+00:00,AssaneChrif,HS-Gather-2019-Senegal,8310c8a7-c45d-4f1c-a1f4-fe54286348bf,Case de Santé Ngué Gallakh Peulh,Village de Ngué Ngalalh Peulh,,public,Ministère de la santé et de l'action sociale,15.97175371,-16.37086306,27,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,yes,powered_pump,solar,,,,bf89446d-3836-45d4-ac27-f927eee2cebb
28,e31cf119-7109-439c-8349-51b74a73095f,2019-07-18T10:35:55.074000+00:00,2019-07-18T10:41:17.209000+00:00,AssaneChrif,HS-Gather-2019-Senegal,185c7b36-537b-4b5f-93dd-46f6595138cd,Case de Santé Ndiakhip Niang,Village de Ndiakhip Niang,,public,Ministère de la santé et de l'action sociale ,15.92250508,-16.36528188,46,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,yes,well,none,,,,705ab75d-2dca-44f3-9d58-53b00110496d
29,89023809-ffeb-4e7b-a741-b66a18a8d7dc,2019-07-18T09:39:46.937000+00:00,2019-07-18T09:48:23.842000+00:00,AssaneChrif,HS-Gather-2019-Senegal,a5c7af64-5fe2-4718-85e3-e41ae288d38e,Poste de santé de Rao,Rao gare,,public,Ministère de la santé et de l'action sociale,15.91991554,-16.3976165,38,5,operational,oh_weekday,,,,,,,,,,,,09:00-18:00,,Mo-Fr 09:00-18:00; PH off,,doctors,doctor pharmacy,,,no,,1,0,1,no,no,water_works,grid,,,,8c9b57d4-a641-4f08-aefd-7768dcc69b57
30,71e19d7c-9420-44c7-99e6-81d1bb8a5cfa,2019-07-18T13:35:16.245000+00:00,2019-07-18T15:56:11.739000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,34eb4a77-394c-4c8c-a8dd-daa0dc9ceaaa,Case de Santé de Ndièl mbam,Ndièl mbam,,public,Ministère de la santé et de l'action sociale,15.94002774,-16.49318294,41,5,non_operational,oh_select,Tu Mo Th,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-18:30,09:00-18:30,,09:00-18:30,,,,,Mo 09:00-18:30; Tu 09:00-18:30; We off; Th 09:00-18:30; Fr off; Sa off; Su off; PH off,,,Mo 09:00-18:30; Tu 09:00-18:30; We off; Th 09:00-18:30; Fr off; Sa off; Su off; PH off,,doctors,doctor,,,no,,0,0,0,public,no,well,none,,,,d5c3d814-29c1-4182-91c9-c0e36e2f0605
31,57ab4c4d-5ca2-4d46-bcbd-b258f25efdb3,2019-07-18T12:33:29.844000+00:00,2019-07-18T13:03:02.608000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,818b5338-db7e-47e0-81c9-aea84a7eab55,Case de Santé de Leybar Boye,Leybar Boye,+221784704317,public,Ministère de la santé et de l'action,15.98260408,-16.46810453,29,5,operational,oh_select,Mo Tu We Th Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,,,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa off; Su off; PH off,,,Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa off; Su off; PH off,,doctors,doctor,,,no,,0,0,0,public,no,water_works,grid,,,,ce7ecd67-2c1e-44cb-978b-ee14b5cc1988
32,29e1e6f1-380c-43bc-9fb5-a863f41b21d5,2019-07-18T10:16:56.296000+00:00,2019-07-18T10:48:33.143000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,5a311851-1b98-4f7b-ad55-d18b585d7425,Case de Santé de Ngaye Ngaye,Ngaye Ngaye,+221703078139,public,Ministère de la santé et de l'action sociale ,15.95843017,-16.45431949,26,6,operational,oh_select,Mo Tu Th We Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-13:00,08:00-13:00,08:00-13:00,08:00-13:00,08:00-13:00,,,,Mo 08:00-13:00; Tu 08:00-13:00; We 08:00-13:00; Th 08:00-13:00; Fr 08:00-13:00; Sa off; Su off; PH off,,,Mo 08:00-13:00; Tu 08:00-13:00; We 08:00-13:00; Th 08:00-13:00; Fr 08:00-13:00; Sa off; Su off; PH off,,doctors,pharmacy doctor,,,no,,0,0,0,public,no,water_works,grid,,,,541d8da3-4b38-470b-b97b-01d6d075e0ba
